node_id,label,feature,direction,status,reason,n,positives,negatives,threshold,sensitivity,specificity,youden_j,balanced_accuracy,tp,tn,fp,fn
biomarker:high_jitter,High Jitter,jitter,high,calibrated,,111,55,56,0.13194497433207755,0.10909090909090909,0.9821428571428571,0.09123376623376611,0.5456168831168831,6,55,1,49
biomarker:high_pause_ratio,High Pause Ratio,pause_ratio,high,calibrated,,108,52,56,0.33980947443458004,0.9423076923076923,0.19642857142857142,0.1387362637362637,0.5693681318681318,49,11,45,3
biomarker:low_speech_rate,Low Speech Rate,speech_rate,low,calibrated,,108,52,56,3.8373045786765463,0.9423076923076923,0.14285714285714285,0.08516483516483508,0.5425824175824175,49,8,48,3
biomarker:low_energy,Low Vocal Energy,energy,low,calibrated,,111,55,56,0.004403299186378717,0.2727272727272727,0.8928571428571429,0.16558441558441572,0.5827922077922079,15,50,6,40
biomarker:high_pitch_variability,High Pitch Variability,pitch_std,high,calibrated,,111,55,56,42.65833713444162,0.7636363636363637,0.5535714285714286,0.31720779220779227,0.6586038961038961,42,31,25,13
biomarker:high_pitch_mean,High Mean Pitch,pitch_mean,high,calibrated,,111,55,56,147.44227707006368,0.7272727272727273,0.5714285714285714,0.2987012987012987,0.6493506493506493,40,32,24,15
biomarker:low_pitch_mean,Low Mean Pitch,pitch_mean,low,calibrated,,111,55,56,122.94135465289503,0.14545454545454545,0.9285714285714286,0.0740259740259741,0.537012987012987,8,52,4,47
biomarker:high_mfcc_1_mean,High MFCC 1 Mean,mfcc_mean_0,high,calibrated,,111,55,56,-85.89946577463174,0.5818181818181818,0.4642857142857143,0.04610389610389598,0.523051948051948,32,26,30,23
biomarker:high_mfcc_2_std,High MFCC 2 Variability,mfcc_std_1,high,calibrated,,111,55,56,4.798454658265069,0.6909090909090909,0.44642857142857145,0.13733766233766231,0.5686688311688312,38,25,31,17
biomarker:low_mfcc_3_mean,Low MFCC 3 Mean,mfcc_mean_2,low,calibrated,,111,55,56,-0.3752938608783923,0.8,0.3392857142857143,0.13928571428571423,0.5696428571428571,44,19,37,11
biomarker:high_mfcc_4_std,High MFCC 4 Variability,mfcc_std_3,high,calibrated,,111,55,56,2.556283375895461,0.16363636363636364,0.9285714285714286,0.09220779220779218,0.5461038961038961,9,52,4,46
